DHSID_EA,relevance_score,most_relevant_sentences
AM-2016-7#-00000308,1.0,References  Category:Military education and training in Georgia (country)
AM-2016-7#-00000112,4.0,"Today the number of professors involved in teaching and training is around 300, including 59 academicians and 259 corresponding members of the academy, and nine thousand students pursue their degrees at 12 regional branches of the university."
AM-2016-7#-00000308,6.0,"Free University () is a private research university in Tbilisi, Georgia, founded by Kakha Bendukidze, Georgian statesman, businessman and philanthropist often regarded as the Man Who Remade Georgia.The Man Who Remade Georgia Founded in 2007, the university has grown to comprise seven undergraduate and graduate schools, among which are, the university's oldest, School of International Relations, School of Business, Architecture, Governance and Social Sciences,  Mathematics and Computer Science, Physics, Electrical and Computer Engineering, Law, and School of Visual Arts and Design."
AM-2010-6#-00000026,1.0,"The building of the factory was built on the site of this palace In 1899 Shustov invited Kyrill Silchenko, who had just finished Nikitin's school of wine-making, to work at the factory."
AM-2016-7#-00000068,1.0,"The municipality of Kars bought it and planned to demolish it to build a school on its site, but the plan was never carried out."
AM-2016-7#-00000089,2.0,"It was claimed that, until their displacement, Betanure was exclusively inhabited by a Jewish population, consisting of 55 families in 100 households, and had two religious schools with 150 male students, which is likely exaggerated."
AM-2016-7#-00000308,2.0,"Technologies developed at the university were used in aviation design for Tupolev, and many of the university's scientific discoveries were displayed at the All-Union Agricultural Exhibition of the USSR and at international exhibitions. Over 800 instructors currently work at the school's campus."
AM-2010-6#-00000252,2.0,"The teaching staff consists of both French and Azerbaijani professors. Most UFAZ students, more than 80%, are scholarship holders who receive free education based on Azerbaijani government's financial support."
AM-2016-7#-00000234,1.0,"A stone plaque found at the church and now preserved in the National Museum of Georgia in Tbilisi, bears the medieval Georgian inscription in an asomtavruli script, making mention of the certain Rabay and his wife, Nugamtsira."
AM-2010-6#-00000252,1.0,The surrounding cells were given to the kindergarten.
AM-2016-7#-00000081,1.0,"In response to its first ascent by Parrot and Abovian, one high-ranking Armenian Apostolic Church clergyman commented that to climb the sacred mountain was ""to tie the womb of the mother of all mankind in a dragonish mode."""
AM-2010-6#-00000252,2.0,"The Armenian part of the town consisted of 12 quarters, five churches, town and district school and girls' seminary. Karim bey Mehmandarov (1854-1929), Azerbaijani physician, founder of the Russian-Azerbaijani Shusha girls school."
AM-2016-7#-00000153,3.0,"persons) 201020112012201320142015201620172018Goranboy region96,296,296,998,199,1100,2101,2102,4103,3Urban population20,320,520,620,821,021,221,521,822,0Rural population75,975,776,377,378,179,079,780,681,3   Education  There are 30 pre-school children enterprises, 80 secondary schools, 1 technical, secondary and vocational schools in Goranboy region."
AM-2010-6#-00000252,3.0,"At present, the Imishli District Education Department has 62 general education schools, including 57 full-time, 3 general secondary, 2 primary schools and 2 out-of-school establishments."
AM-2010-6#-00000252,2.0,Infrastructure  Number of kindergartens is 6 and general education schools is 30.
AM-2010-6#-00000252,4.0,"Education  There are 48 secondary schools, 86 general-education schools, 4 non-formal and 13 pre-school education facilities."
AM-2010-6#-00000252,1.0,"Abdurrahim Hagverdiyev, dramatist     Yusif Vazir Chamanzaminli (12 September 1887 to 3 January 1943 in the GULAG, near Gorky, Russia), core author of the novel Ali and Nino, published under the pseudonym Kurban Said Karim bey Mehmandarov, doctor and social activist Khan Shushinski, folk singer Shamsi Badalbeyli, theatre director and actor  Suleyman Sani Akhundov, Azerbaijani playwright, journalist, children's author, and teacher (3 October 1875, Shusha – 29 March 1939, Baku)   Ahmad Agdamski, Azerbaijani opera singer, mugam singer and actor (5 January 1884, Shusha – 1 April 1954 Agdash)  Soltan Hajibeyov, Azerbaijani composer and People's Artist of the USSR (5 May 1919 Shusha – 19 September 1974 Baku)  Uzeyir Hajibeyov (1885–1948), founder of Azerbaijani composed music  Jabbar Garyagdioglu, Azerbaijani folk singer (khananda) (31 March 1861  Shusha – 20 April 1944 Baku)   Seyid Shushinski, Azerbaijani folk singer (khananda) (12 April 1889, Horadiz – 1 November 1965, Baku)  Arsen Terteryan (1882–1953), Soviet-Armenian scientist."
AM-2016-7#-00000252,4.0,"Institution  There are 80 secondary schools in the district, including 42 full-time secondary schools, 22 secondary schools, 16 primary schools, 3 pre-schools and 5 out-of-school institutions."
AM-2016-7#-00000288,1.0,"12.7 thousand of total population are men, 12.4 thousand are women."
AM-2016-7#-00000184,4.0,"After the Russo-Georgian War in 2008, education officials attempted to place most university-bound students from South Ossetia in Russian post-secondary education institutions."
AM-2010-6#-00000244,1.0,The post office opened in 1924 and the first school opened the following year.
AM-2016-7#-00000271,2.0,"The town is also home to an art school, a sports school and a musical academy. The Yeghegnadzor campus of the Armenian State University of Economics is operating since 2008.NPUA, Yeghegnadzor Campus  As of 2016, there are 4 public schools as well as 3 kindergartens operating in Yeghegnadzor."
AM-2010-6#-00000252,1.0,"Another 5,000 IDPs lived in abandoned or rapidly deteriorating schools. Amaras also hosted the first school where St. Mesrop Mashtots, the inventor of the Armenian alphabet, taught the new script to pupils in the 5th century. The education system is inherited from the old system of the Soviet Union. Artsakh's school system was severely damaged because of the 1991–1994 conflict. But the government of the Republic of Artsakh with considerable aid from the Republic of Armenia and with donations from the Armenian diaspora, rebuilt many of the schools. Prior to the 2020 war, Artsakh had around 250 schools of various sizes, with more than 200 lying in the regions. The student population was estimated at more than 20,000, with almost half in the capital city of Stepanakert. Artsakh State University was founded by Artsakh and Armenian governments' joint efforts, with main campus in Stepanakert. The university opening ceremony took place on 10 May 1992. Culture  thumb|""We are our mountains"" monument depicting a man and a woman  ""We Are Our Mountains"" () by Sargis Baghdasaryan is a monument located in Stepanakert.Artsakh: A Photographic Journey by Hrair Khatcherian, p.49. It is a large monument from tuff of an old Armenian man and woman hewn from rock, representing the mountain people of Artsakh."
AM-2016-7#-00000308,1.0,"Nowadays, most people work in service industries (banking, education, auto-repair, and retail) as well as subsistence farming."
AM-2016-7#-00000308,1.0,"In August 1984, the three hijackers – Kobakhidze and the brothers Iverieli – were sentenced to death, while their female co-conspirator Tinatin Petviashvili received a 14-year jail sentence."
AM-2010-6#-00000252,1.0,"In the upper right corner of the image, it can be seen the building of the Saadet school on the territory of the Muslim part of the cemetery. The now-empty graves were razed to the ground, and on 23 December 1912, the foundation of the school building was laid."
AM-2010-6#-00000252,2.0,"The teaching staff consists of both French and Azerbaijani professors. Most UFAZ students, more than 80%, are scholarship holders who receive free education based on Azerbaijani government's financial support."
AM-2016-7#-00000234,1.0,"A stone plaque found at the church and now preserved in the National Museum of Georgia in Tbilisi, bears the medieval Georgian inscription in an asomtavruli script, making mention of the certain Rabay and his wife, Nugamtsira."
AM-2010-6#-00000252,1.0,The surrounding cells were given to the kindergarten.
AM-2016-7#-00000081,1.0,"In response to its first ascent by Parrot and Abovian, one high-ranking Armenian Apostolic Church clergyman commented that to climb the sacred mountain was ""to tie the womb of the mother of all mankind in a dragonish mode."""
