DHSID_EA,relevance_score,most_relevant_sentences
CO-2010-6#-00000678,2.0,"It amounted to corruption losses for more than $8 billion dollars, being a worst corruption scandal than others like the Carrusel de la Contratación or Agro Ingreso Seguro."
CO-2010-6#-00003788,1.0,"History  Before the museum, a restoration of the property was carried out in 1975, in which a meeting room and library of the Panamanian Academy of History were enabled on the ground floor; a local office of the Directorate of Historical Heritage of the National Institute of Culture and a room known as ""Room of the National Symbols""."
CO-2010-6#-00004868,1.0,"Its collection comprised documents on economic, legal and fiscal issues and issues pertaining the activity of the central bank, with the archives from the currency council of the Banco de la República."
CO-2010-6#-00004270,1.0,"Despite being home to more than 50% of the Ticunas, Brazil has only recently started to invest in native language education. gloss  Tucuna one  wöi two  tádi three  tamaípo head  na-eró ear  na-chin tooth  ná-puita man  yáte fire  öo sun  öake earth  náni maize  cháwue tapir  náke  References  1. https://joshuaproject.net/people_groups/15471   External links   ""Conversational Tikuna"" – Ticuna course and grammar at the Summer Institute of Linguistics Ticuna publications for download OLAC resources in and about the Ticuna language Ticuna (tca) language documentation: A guide to materials in the California Language Archive (Skilton 2021)  Category:Ticuna–Yuri languages Category:Indigenous languages of Western Amazonia Category:Languages of Peru Category:Languages of Colombia Category:Languages of Brazil Category:Tonal languages Category:Isolating languages Category:Subject–verb–object languages  hr:Tucuna it:Ticuna"
CO-2010-6#-00000095,1.0,"Territories of the Kingdom of the Netherlands, the countries, and Maxine the owner is municipality, are outside the European Union; citizens have Dutch nationality and the former colonial power benefits from preferential trade, mineral and natural resource rights, particularly offshore."
CO-2010-6#-00003867,1.0,The city is an economic hub that contains Venezuela's top industries and manufacturing companies.
CO-2010-6#-00001147,1.0,"The investigation pointed to a number of probable causes, including a non-crew pilot in the cockpit, whose presence diverted the attention of the pilot and who interfered with the operation of the aircraft, and a lack of teamwork (crew resource management) between the pilot and co-pilot."
CO-2010-6#-00003633,2.0,"Quito has the highest level of tax collection in Ecuador, exceeding the national 57% per year 2009, currently being the most important economic region of the country, as the latest ""study"" conducted by the Central Bank of Ecuador."
CO-2010-6#-00001916,1.0,"He secured financing from wealthy businessmen, chose the land where the airport sits today and overcame obstacles imposed by the local government. Aerolínea de Antioquia has its headquarters on the airport property and has six hangars to store and perform maintenance on their planes. Inspection after landing revealed structural damage beyond economic repair, probably caused by a gear collapse suffered previously on 14 February 1988. On 2 July 2013, two passengers on board an ADA flight attempted to rob someone outside the plane who allegedly had large sums of money and some kilograms of gold."
CO-2010-6#-00002001,3.0,"As the Company of Scotland was backed by approximately 20% of all the money circulating in Scotland, its failure left the Scottish Lowlands in substantial financial ruin; in fact, English financial incentives were a factor in persuading those in power to support the 1707 Acts of Union."
CO-2010-6#-00004360,1.0,"Its second most important source of income is tourism, offering jungle exploration, indigenous encounters, and rivers. Mining is the third reliable source of income."
CO-2010-6#-00004360,1.0,"Economy   The most important natural resource in the province is oil, the Lago Agrio oil field."
CO-2010-6#-00002190,1.0,The volcano began releasing increasing quantities of gases rich in sulfur dioxide and elementary sulfur.
CO-2010-6#-00004723,1.0,"The Special Administrative Unit of Civil Aeronautics (Aerocivil) is located in the new Aerocivil Building, located on the airport property. Accidents and incidents On 7 June 1973, Vickers Viscount HK-1061 of Aerolíneas TAO was damaged beyond economic repair in an accident on landing."
CO-2010-6#-00001513,1.0,"The first hospital was constructed in 1893 by the Congregation of the Sacred Heart of Jesus with money donated by Don Manuel María Aya Caicedo and Lady Sagrado Cleofé Diaz, who also founded an adjoining nursing home."
CO-2010-6#-00004742,1.0,"Users pay at the station entrance using a smart card, pass through a turnstile, and wait for buses inside the station, which is typically 5 m wide. The operational design of TransMilenio was undertaken by transport consultants Steer Davies Gleave with the financial structuring of the project led by Capitalcorp S.A., a local investment bank. Most of the money required to build TransMilenio was provided by the Colombian central government, while the city of Bogotá provided the remaining 30%. The numbers of this report are calculated in money of 2009.Proyectos de infraestructura y transporte, ""Bogotá - Región Capital Cundinamarca"", February 2011  The system is overseen by a public body, which awards contracts to private bus companies on a competitive basis. In 2012 the secretary of finance of Bogota said that the whole line of Avenida Caracas should be rebuilt as well as some parts of the Avenida 26 line. See also  List of bus rapid transit systems  TransMiCable  Transjakarta  References   External links    Official website of TransMilenio   Bogota's New Transit System, a TransMilenio slideshow by the New York Times  The Economics of TransMilenio, an economic analysis of Bogotá's BRT system    Category:2000 introductions Category:Transport in Bogotá Category:Bus rapid transit in Colombia"
