DHSID_EA,relevance_score,most_relevant_sentences
ET-2011-6#-00000199,1.0,"+ Shareholding In Tulu Moye SAS Rank  Shareholder  Domicile  Percentage 1  Meridiam Infrastructure Africa Fund France  51.00  2  Reykjavik Geothermal Iceland  49.00  Total    100.00  Funding The cost of construction of the first phase of this infrastructure project (the first 50 megawatts) is budgeted at US$260 million, borne by the developers; 25 percent as equity and 75 percent as debt."
ET-2005-5#-00000190,1.0,"The Blue Nile is vital to the livelihood of Egypt: as the most significant tributary of the Nile, it contributes over 85% of the Nile's streamflow.Mohamed Helmy Mahmoud Moustafa Elsanabary Though shorter than the White Nile, 59% of the water that reaches Egypt originates from the Ethiopian highlands via the Blue Nile. The river is also an important resource for Sudan, where the Roseires Dam and Sennar Dams produce 80% of the country's power."
ET-2011-6#-00000210,3.0,"The Ministry of Labor and Social Affairs aims to avert social ills such poverty, illiteracy, caring the elderly and handicaps, and protection of vulnerable groups such women and child; and above all creation of employment opportunities for the active age groups.Awdal Labour ""Awdal Ministry of Labour, Somaliland"" ."
ET-2016-7#-00000630,1.0,"The Somali livestock ban imposed by Gulf countries in which was Sanag's largest market has virtually destroyed the economy in the region, reducing purchasing power and forcing pastoralists in the region to survive on subsistence activities."
ET-2011-6#-00000381,2.0,"It has the highest percentage of residents who are internally displaced persons among the regions of Somalia, because of its relative safety, economic opportunities and availability of resources."
ET-2011-6#-00000546,3.0,"Most regard Ethiopia's large water resources and potential as its ""white oil"" and its coffee resources as ""black gold"".. ethiopianreporter.com  Ethiopia also has large mineral resources and oil potential in some of the less inhabited regions."
ET-2005-5#-00000448,1.0,"The English form, ""Ras Dashen"" is a corruption of its Amharic name, ""Ras Dejen"", the term used by the Ethiopian Mapping Authority (EMA) which alludes to the traditional head or general who fights in front of the Emperor.Erik Nilsson, ""Traces of Ancient Changes of Climate in East Africa:  Preliminary Report"", Geografiska Annaler, 17 (1935), p. 13  Overview According to Erik Nilsson, Ras Dashen is the eastern peak of the rim of ""an enormous volcano, the northern half of which is cut down about [a] thousand metres by numerous ravines, draining into the Takkazzi River."""
ET-2005-5#-00000008,1.0,"It is expected that the second phase (the next 50 megawatts) will be funded with borrowed money. The general plan is to have the completed development (500 megawatts) funded 25 percent with equity and 75 percent with debt. The total financial outlay for the 1,000 megawatts development is estimated at US$4 billion."
ET-2016-7#-00000630,3.0,"+Selected poverty indicatorsPoverty incidence  (% of population)Poverty gap  (% of poverty line)Poverty severity indexTotal gap  (per year,  current million USD)Puntland27.27.93.549.2Urban267.53.440.4Rural3410.14.18.8Somaliland50.019.29.3229.8Urban47.918.28.9179.7Rural61.124.211.450.1Mogadishu57.023.811.9163.5Somalia51.421.711.51,318.4Urban45.017.18.4476.3Rural52.519.79.1627.5IDP Settlements70.536.522.2214.6The total monetary value of the poverty gap includes the entire Somali population."
ET-2019-8#-00000146,1.0,"In the Nuba Mountains there are phosphate deposits hosting much uranium, vanadium and phosphorus which may be of economic interest. Samuel Totten described the campaign of the Sudanese government in the Nuba Mountains as a ""genocide by attrition"" using starvation as a tool of extermination. In 2002, due to the extreme starvation of the people of the Nuba Mountains and under the international pressure from the UN, Khartoum under President Bashir (at that time, the government was termed the National Islamic Front) authorizes an interim cease fire to provide food and medical equipment/support to the people of the Nuba Mountains."
ET-2011-6#-00000365,1.0,"The region is dubbed as the ""breadbasket"" of the country as it is rich in agriculture. The region is also rich in marble, and other important minerals, including gold. The number of men who were paid their total earnings in cash was 59.10 per cent, in kind was 5.70 and in both was 22.90. The number of women who were paid their total earnings in cash was 81.90 per cent, in kind was 1.60 per cent and in both was 5.20 per cent."
ET-2019-8#-00000126,1.0,No money changed hands and the Somalis did not sign away any of their land rights; the agreement was meant to protect their land from outsiders with the help of the French.
ET-2019-8#-00000126,1.0,"Center for Strategic and International Studies, The Indian Ocean: its political, economic, and military importance, (Praeger: 1972), p.166."
ET-2011-6#-00000299,1.0,"Furthermore, the southern and western outskirts of the city are a place which the Kingdom wants to turn into its agricultural hub due to the water underground as well as the rich and diverse soil."
ET-2016-7#-00000213,1.0,"After World War I, these companies encountered financial difficulties and merged, and harvested as much as 613 tons of coffee at their peak (1931-21).Richard Pankhurst, Economic History of Ethiopia (Addis Ababa: Haile Selassie I University, 1968), p. 203 The Central Statistical Agency (CSA), reported that 2198 tons of coffee were produced in this zone in the year ending in 2005, based on inspection records from the Ethiopian Coffee and Tea authority."
ET-2016-7#-00000479,1.0,"The number of men who were paid their total earnings in cash was 74.50 per cent, in kind was 6.60 and in both was 5.20. The number of women who were paid their total earnings in cash was 77.60 per cent, in kind was 6.10 per cent and in both was 4.50 per cent."
ET-2016-7#-00000138,1.0,"Their educated elites had divergent interests, and economic contacts between the two regions were virtually nonexistent. The informal plebiscite demonstrated the overwhelming desire of the region's population, which mainly consisted of Somalis and Oromos, to join the newly formed Somali Republic.David D. Laitin, Politics, Language, and Thought: The Somali Experience, (University Of Chicago Press: 1977), p.75 A 1962 editorial in The Observer, Britain's oldest Sunday newspaper, concurrently noted that ""by every criterion, the Kenya Somalis have a right to choose their own future[...] they differ from other Kenyans not just tribally but in almost every way[...] they are Hamitic, have different customs, a different religion (Islam), and they inhabit a desert which contributes little or nothing to the Kenya economy[...] nobody can accuse them of trying to make off with the national wealth"". Both Osman and prime minister-designate Hussein wanted to give priority to the country's internal economic and social problems. In these areas, he was allied with the ""modernists"" in the government, parliament, and administration who favored redirecting the nation's energies from confrontation with its neighbors to combating social and economic ills. Neither the president nor the prime minister seemed particularly concerned about official corruption and nepotism."
