DHSID_EA,relevance_score,most_relevant_sentences
MW-2000-4#-00001090,1.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN. Fish Fishing [[File:Pesce ad essiccare sulla riva del lago malawi.JPG|thumb|left|Lake Malawi sardines (Engraulicypris sardella) spread out to dry on the shore of the lake]] Lake Malawi has for millennia provided a major food source to the residents of its shores since its waters are rich in fish."
MW-2000-4#-00001090,1.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN. Fish Fishing [[File:Pesce ad essiccare sulla riva del lago malawi.JPG|thumb|left|Lake Malawi sardines (Engraulicypris sardella) spread out to dry on the shore of the lake]] Lake Malawi has for millennia provided a major food source to the residents of its shores since its waters are rich in fish."
MW-2015-7Z-00000379,1.0,"This is approximately , by road, north-west of the city of Blantyre, the financial capital and largest city in the country."
MW-2014-7#-00000107,1.0,"This is about , by road, north-west of Blantyre, the financial capital of Malawi."
MW-2012-6Z-00000069,4.0,"The economic status of women in Malawi is gauged using indices such as the inheritance rights for women, unemployment, and labor force participation for females, along with the extent of the wage gap present between men and women in the Malawian economy."
MW-2000-4#-00001090,1.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN. Fish Fishing [[File:Pesce ad essiccare sulla riva del lago malawi.JPG|thumb|left|Lake Malawi sardines (Engraulicypris sardella) spread out to dry on the shore of the lake]] Lake Malawi has for millennia provided a major food source to the residents of its shores since its waters are rich in fish."
MW-2000-4#-00001090,1.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN. Fish Fishing [[File:Pesce ad essiccare sulla riva del lago malawi.JPG|thumb|left|Lake Malawi sardines (Engraulicypris sardella) spread out to dry on the shore of the lake]] Lake Malawi has for millennia provided a major food source to the residents of its shores since its waters are rich in fish."
MW-2015-7Z-00000379,1.0,"This is approximately , by road, north-west of the city of Blantyre, the financial capital and largest city in the country."
MW-2014-7#-00000107,1.0,"This is about , by road, north-west of Blantyre, the financial capital of Malawi."
MW-2004-4Z-00000051,1.0,"Location The College's main campus is located along Mahatma Gandhi Avenue, in the city of Blantyre, Malawi's financial capital and largest city, adjacent to Queen Elizabeth Central Hospital, the University's teaching hospital."
MW-2017-7Z-00000082,1.0,"Together, they are expected to form a special purpose vehicle company (which we shall refer to as Nkhotakota Solar), which will develop, design, finance, construct and operate the power station."
MW-2012-6Z-00000069,4.0,"The economic status of women in Malawi is gauged using indices such as the inheritance rights for women, unemployment, and labor force participation for females, along with the extent of the wage gap present between men and women in the Malawian economy."
MW-2010-6#-00000305,1.0,"The location is within the Lujeri Tea Estate, approximately , by road, southeast of Blantyre, the commercial and financial capital of Malawi."
MW-2004-4Z-00000008,2.0,These were peaceful people who built a livelihood from the soil and local natural resources.
MW-2015-7Z-00000379,1.0,"This is approximately , by road, north-west of the city of Blantyre, the financial capital and largest city in the country."
MW-2014-7#-00000107,1.0,"This is about , by road, north-west of Blantyre, the financial capital of Malawi."
MW-2010-6#-00000305,1.0,"The location is within the Lujeri Tea Estate, approximately , by road, southeast of Blantyre, the commercial and financial capital of Malawi."
MW-2004-4Z-00000008,2.0,These were peaceful people who built a livelihood from the soil and local natural resources.
MW-2015-7Z-00000490,1.0,"Plans for pulp mill to create wood pulp for export were abandoned in the 1980s, a consequence of reduced export demand and economic recession."
MW-2010-6#-00000305,1.0,"The location is within the Lujeri Tea Estate, approximately , by road, southeast of Blantyre, the commercial and financial capital of Malawi."
MW-2010-6#-00000305,1.0,"The location is within the Lujeri Tea Estate, approximately , by road, southeast of Blantyre, the commercial and financial capital of Malawi."
MW-2004-4Z-00000008,2.0,These were peaceful people who built a livelihood from the soil and local natural resources.
MW-2015-7Z-00000490,1.0,"Plans for pulp mill to create wood pulp for export were abandoned in the 1980s, a consequence of reduced export demand and economic recession."
MW-2012-6Z-00000069,4.0,"The economic status of women in Malawi is gauged using indices such as the inheritance rights for women, unemployment, and labor force participation for females, along with the extent of the wage gap present between men and women in the Malawian economy."
MW-2010-6#-00000305,1.0,"The location is within the Lujeri Tea Estate, approximately , by road, southeast of Blantyre, the commercial and financial capital of Malawi."
MW-2000-4#-00001090,1.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN. Fish Fishing [[File:Pesce ad essiccare sulla riva del lago malawi.JPG|thumb|left|Lake Malawi sardines (Engraulicypris sardella) spread out to dry on the shore of the lake]] Lake Malawi has for millennia provided a major food source to the residents of its shores since its waters are rich in fish."
MW-2000-4#-00001090,1.0,"The outflows from Lake Malawi into the Shire River are vital for the economy as the water resources support hydropower, irrigation and downstream biodiversity.Bhave, A., Vincent, K. and Mkwambisi, D. (2019) Projecting future water availability in Lake Malawi and the Shire River basin, Future Climate for Africa Brief, Cape Town: CDKN. Fish Fishing [[File:Pesce ad essiccare sulla riva del lago malawi.JPG|thumb|left|Lake Malawi sardines (Engraulicypris sardella) spread out to dry on the shore of the lake]] Lake Malawi has for millennia provided a major food source to the residents of its shores since its waters are rich in fish."
MW-2015-7Z-00000379,1.0,"This is approximately , by road, north-west of the city of Blantyre, the financial capital and largest city in the country."
MW-2014-7#-00000107,1.0,"This is about , by road, north-west of Blantyre, the financial capital of Malawi."
MW-2004-4Z-00000051,1.0,"Location The College's main campus is located along Mahatma Gandhi Avenue, in the city of Blantyre, Malawi's financial capital and largest city, adjacent to Queen Elizabeth Central Hospital, the University's teaching hospital."
