DHSID_EA,most_relevant_sentences
GN-2005-5#-00000274,"Geology The mountain is rich in iron ore and cobalt. The mix of iron rich quartzite sheets, schists and granite gneiss have characterised the geological pedogenesis"
GN-1999-4#-00005106,The market was the scene of the Guinean Market Women's Revolt in 1977 that marketed a turning point in the country's economic history and was celebrated as a national holiday following the end of President Ahmed Sékou Touré regime
GN-2012-6#-00000213,The city also benefits from a considerable diaspora whose repatriated income contributes significantly to infrastructural development in Labé and helps to overcome the region's relatively poorer revenue stream
GN-2005-5#-00000274,"Geology The mountain is rich in iron ore and cobalt. The mix of iron rich quartzite sheets, schists and granite gneiss have characterised the geological pedogenesis"
GN-2018-7#-00000252,"The Simandou Range is an important area of conservation for the Guinean forest ecosystem of West Africa, one of the world's biologically richest and most endangered terrestrial ecosystems. Land tenure conflicts and ecologically destructive subsistence farming practices (slash and burn agriculture), exacerbated by poverty, also pose problems for the environment. However, the potentially lucrative blocks I and II were mired for several years later in litigation of possible corruption"
GN-2018-7#-00000104,"A 2012 study reported high chronic malnutrition rates, with levels ranging from 34% to 40% by region, as well as acute malnutrition rates above 10% in Upper Guinea's mining zones"
GN-1999-4#-00003223,"It has a 320-km coastline, and claims an exclusive economic zone of , with a territorial sea of. Resources and environment The country's natural resources include bauxite, iron ore, diamonds, gold, uranium, hydropower, fish, and salt. Guinea's total renewable water resources total 226 km3. Environmental issues Current environmental issues in Guinea include: deforestation; inadequate supplies of potable water; desertification; soil contamination and erosion; and overfishing and overpopulation in forest regions"
GN-2012-6#-00000213,The city also benefits from a considerable diaspora whose repatriated income contributes significantly to infrastructural development in Labé and helps to overcome the region's relatively poorer revenue stream
GN-2005-5#-00000274,"Geology The mountain is rich in iron ore and cobalt. The mix of iron rich quartzite sheets, schists and granite gneiss have characterised the geological pedogenesis"
GN-1999-4#-00005106,The market was the scene of the Guinean Market Women's Revolt in 1977 that marketed a turning point in the country's economic history and was celebrated as a national holiday following the end of President Ahmed Sékou Touré regime
GN-2018-7#-00000252,"The Simandou Range is an important area of conservation for the Guinean forest ecosystem of West Africa, one of the world's biologically richest and most endangered terrestrial ecosystems. Land tenure conflicts and ecologically destructive subsistence farming practices (slash and burn agriculture), exacerbated by poverty, also pose problems for the environment. However, the potentially lucrative blocks I and II were mired for several years later in litigation of possible corruption"
GN-2012-6#-00000213,The city also benefits from a considerable diaspora whose repatriated income contributes significantly to infrastructural development in Labé and helps to overcome the region's relatively poorer revenue stream
GN-2005-5#-00000274,"Geology The mountain is rich in iron ore and cobalt. The mix of iron rich quartzite sheets, schists and granite gneiss have characterised the geological pedogenesis"
GN-2018-7#-00000252,"The Simandou Range is an important area of conservation for the Guinean forest ecosystem of West Africa, one of the world's biologically richest and most endangered terrestrial ecosystems. Land tenure conflicts and ecologically destructive subsistence farming practices (slash and burn agriculture), exacerbated by poverty, also pose problems for the environment. However, the potentially lucrative blocks I and II were mired for several years later in litigation of possible corruption"
GN-2018-7#-00000104,"A 2012 study reported high chronic malnutrition rates, with levels ranging from 34% to 40% by region, as well as acute malnutrition rates above 10% in Upper Guinea's mining zones"
GN-1999-4#-00003223,"It has a 320-km coastline, and claims an exclusive economic zone of , with a territorial sea of. Resources and environment The country's natural resources include bauxite, iron ore, diamonds, gold, uranium, hydropower, fish, and salt. Guinea's total renewable water resources total 226 km3. Environmental issues Current environmental issues in Guinea include: deforestation; inadequate supplies of potable water; desertification; soil contamination and erosion; and overfishing and overpopulation in forest regions"
GN-2018-7#-00000104,"A 2012 study reported high chronic malnutrition rates, with levels ranging from 34% to 40% by region, as well as acute malnutrition rates above 10% in Upper Guinea's mining zones"
GN-1999-4#-00003223,"It has a 320-km coastline, and claims an exclusive economic zone of , with a territorial sea of. Resources and environment The country's natural resources include bauxite, iron ore, diamonds, gold, uranium, hydropower, fish, and salt. Guinea's total renewable water resources total 226 km3. Environmental issues Current environmental issues in Guinea include: deforestation; inadequate supplies of potable water; desertification; soil contamination and erosion; and overfishing and overpopulation in forest regions"
GN-2018-7#-00000252,"The Simandou Range is an important area of conservation for the Guinean forest ecosystem of West Africa, one of the world's biologically richest and most endangered terrestrial ecosystems. Land tenure conflicts and ecologically destructive subsistence farming practices (slash and burn agriculture), exacerbated by poverty, also pose problems for the environment. However, the potentially lucrative blocks I and II were mired for several years later in litigation of possible corruption"
GN-2012-6#-00000213,The city also benefits from a considerable diaspora whose repatriated income contributes significantly to infrastructural development in Labé and helps to overcome the region's relatively poorer revenue stream
GN-2005-5#-00000274,"Geology The mountain is rich in iron ore and cobalt. The mix of iron rich quartzite sheets, schists and granite gneiss have characterised the geological pedogenesis"
GN-2018-7#-00000252,"The Simandou Range is an important area of conservation for the Guinean forest ecosystem of West Africa, one of the world's biologically richest and most endangered terrestrial ecosystems. Land tenure conflicts and ecologically destructive subsistence farming practices (slash and burn agriculture), exacerbated by poverty, also pose problems for the environment. However, the potentially lucrative blocks I and II were mired for several years later in litigation of possible corruption"
GN-1999-4#-00005106,The market was the scene of the Guinean Market Women's Revolt in 1977 that marketed a turning point in the country's economic history and was celebrated as a national holiday following the end of President Ahmed Sékou Touré regime
GN-2012-6#-00000213,The city also benefits from a considerable diaspora whose repatriated income contributes significantly to infrastructural development in Labé and helps to overcome the region's relatively poorer revenue stream
GN-2018-7#-00000104,"A 2012 study reported high chronic malnutrition rates, with levels ranging from 34% to 40% by region, as well as acute malnutrition rates above 10% in Upper Guinea's mining zones"
GN-1999-4#-00003223,"It has a 320-km coastline, and claims an exclusive economic zone of , with a territorial sea of. Resources and environment The country's natural resources include bauxite, iron ore, diamonds, gold, uranium, hydropower, fish, and salt. Guinea's total renewable water resources total 226 km3. Environmental issues Current environmental issues in Guinea include: deforestation; inadequate supplies of potable water; desertification; soil contamination and erosion; and overfishing and overpopulation in forest regions"
GN-2012-6#-00000073,"pdf Louncény Nabe, 2010- Activities The Bank is active in promoting financial inclusion policy and is a leading member of the Alliance for Financial Inclusion. It is also one of the original 17 regulatory institutions to make specific national commitments to financial inclusion under the Maya Declaration during the 2011 Global Policy Forum held in Mexico"
GN-2018-7#-00000104,"A 2012 study reported high chronic malnutrition rates, with levels ranging from 34% to 40% by region, as well as acute malnutrition rates above 10% in Upper Guinea's mining zones"
GN-1999-4#-00003223,"It has a 320-km coastline, and claims an exclusive economic zone of , with a territorial sea of. Resources and environment The country's natural resources include bauxite, iron ore, diamonds, gold, uranium, hydropower, fish, and salt. Guinea's total renewable water resources total 226 km3. Environmental issues Current environmental issues in Guinea include: deforestation; inadequate supplies of potable water; desertification; soil contamination and erosion; and overfishing and overpopulation in forest regions"
