DHSID_EA,relevance_score,most_relevant_sentences
TD-2014-7#-00000509,1.0,"References   Joël Thomas, 'Enquête exploitation dans la région de Mao (Kanem),' 1990, 1991, 134 p.  Gustav Nachtigal, « Excursion au sud du Kanem », in Sahara et Soudan, Hachette & Cie, Paris, 1881, p. 440 and following  Category:Populated places in Chad Category:Kanem Region"
TD-2014-7#-00000311,1.0,"They arrived in several waves, taking refuge in times of conflict and dispersing in times of prosperity, although not without intense internal hostility at times. Tensions continued after Chad and Libya gained independence in the mid-20th century, with hostage-taking and armed struggles occurring amid disputes over the allocation of natural resources. Although the lake appears rich in phytoplankton, it has not been thoroughly studied. Economy  Natural resources [[File:Amazonite 1.jpg|thumb|upright=0.933|alt=Amazonite from Ethiopia|Amazonite from Ethiopia]]  Although gold was long known to exist in small quantities, substantial deposits were discovered in 2012. Salt is mined today, and is an important source of income for the Toubou. Conservation The resources available for conservation in the Tibesti are limited. However, due to economic and political barriers, the project has not moved beyond the proposal stage."
TD-2014-7#-00000509,1.0,"References   Joël Thomas, 'Enquête exploitation dans la région de Mao (Kanem),' 1990, 1991, 134 p.  Gustav Nachtigal, « Excursion au sud du Kanem », in Sahara et Soudan, Hachette & Cie, Paris, 1881, p. 440 and following  Category:Populated places in Chad Category:Kanem Region"
TD-2014-7#-00000477,1.0,Economy The main products are subsistence agriculture and cotton.
TD-2014-7#-00000130,3.0,"Although property and inheritance laws based on the French code do not discriminate against women, local leaders adjudicate most inheritance cases in favour of men, according to traditional practice."
TD-2014-7#-00000442,1.0,"Economy Its economy is based on subsistence agriculture, breeding, cotton and sugarcane."
TD-2014-7#-00000493,1.0,"Economy  Salamat's economy is based on subsistence agriculture, fishery and cotton."
TD-2014-7#-00000199,1.0,"The province of Lake Chad is affected by a high level of insecurity resulting from economic, geopolitical and ecological issues."
TD-2014-7#-00000130,3.0,"Although property and inheritance laws based on the French code do not discriminate against women, local leaders adjudicate most inheritance cases in favour of men, according to traditional practice."
TD-2014-7#-00000353,1.0,The western end of the avenue is part of the area of the city known as the 'European Quarter' and is regarded as a place for the wealthy.
TD-2014-7#-00000353,1.0,The western end of the avenue is part of the area of the city known as the 'European Quarter' and is regarded as a place for the wealthy.
TD-2014-7#-00000491,3.0,Residents of N'Djamena are liable to pay tax up to a maximum amount of 60% of all net income.
TD-2014-7#-00000089,1.0,"The copious amount of water from the Ubangi would revitalize the dying Lake Chad and provide livelihood in fishing and enhanced agriculture to tens of millions of central Africans and Sahelians. Neighboring countries have agreed to commit resources to restoring the lake, notably Nigeria."
TD-2014-7#-00000491,3.0,Residents of N'Djamena are liable to pay tax up to a maximum amount of 60% of all net income.
TD-2014-7#-00000089,1.0,"The copious amount of water from the Ubangi would revitalize the dying Lake Chad and provide livelihood in fishing and enhanced agriculture to tens of millions of central Africans and Sahelians. Neighboring countries have agreed to commit resources to restoring the lake, notably Nigeria."
TD-2014-7#-00000353,1.0,The western end of the avenue is part of the area of the city known as the 'European Quarter' and is regarded as a place for the wealthy.
