DHSID_EA,relevance_score,most_relevant_sentences
GU-2015-7#-00000271,1.0,"At the top of the Tecuamburro is an acidic crater lake around which many hot springs, fumaroles, and boiling mudpots are found."
GU-2015-7#-00000852,1.0,"Today, Izalco experiences only fumarolic activity in the form of rainwater seeping into the volcano and contacting hot rocks, rather than steam emissions from underground gases."
GU-2015-7#-00000680,1.0,"F  Savanna, scrubland and wetland constitute the remainder of Belize's land cover. Around 13.6% of Belize's territorial waters, which contain the Belize Barrier Reef, are also protected. ""Guatemalans trawling in Belize's southern waters"". Despite these protective measures, the reef remains under threat from oceanic pollution as well as uncontrolled tourism, shipping, and fishing. Tourism  A combination of natural factors – climate, the Belize Barrier Reef, over 450 offshore Cays (islands), excellent fishing, safe waters for boating, scuba diving, snorkelling and freediving, numerous rivers for rafting, and kayaking, various jungle and wildlife reserves of fauna and flora, for hiking, bird watching, and helicopter touring, as well as many Maya sites – support the thriving tourism and ecotourism industry."
GU-2015-7#-00000680,1.0,"Río Azul is situated to the southeast of the Azul river and its apogee dates to the Early Classic period (c. AD 250–600). In the Preclassic the population was spread out along the east bank of the river; in the Late Preclassic the population began to concentrate on the ridge, and this continued into the Early Classic period.Adams 1990, p. 28. Tikal's dominance over Río Azul at this time would have secured an important trade route to the Caribbean and would have challenged Calakmul, Tikal's great rival, which would have used the Hondo river for its own route to the sea.Sharer and Traxler 2006, p. 327."
GU-2015-7#-00000680,3.0,A water source is located  southeast of the acropolis and provides water all year; it was probably the principal water source during Kinal's occupation.
GU-2015-7#-00000680,2.0,"The Lake Causeway was designed to allow the rapid movement of goods and people between the city and the lake, and easy access to water."
GU-2015-7#-00000199,1.0,"Flowers, food and drink are placed on these altars as sacrifices."
GU-2015-7#-00000674,1.0,"Dominant species for consumption at Aguateca include white-tailed deer, river turtles, dog, agouti, paca, peccaries, as well as large birds and riverine fish.Emery, Kitty F. ""The Noble Beast: Status and Differential Access to Animals in the Maya World."" Notably, two of the elements air (wind) and water (rain), are intricately linked according to Maya beliefs."
GU-2015-7#-00000678,3.0,These communities depend on the river for drinking water and fishing.
GU-2015-7#-00000681,2.0,"Purpose  The primary purpose of Chalillo Hydroelectric Dam is to impound the water in the 46m storage dam during the rainy season and release during shortage.Belize Produces Electricity with Chalillo Dam. Retrieved 16 February 2017, from  At the base of the dam, through a low level valve, water is released during the dry period. Basically, water is carried from the dam downstream to the powerhouse which protects the generating Kaplan turbines. The circular steel pen stock which is about 80 meters in length and 2.4 meters in diameter facilitates the transport of water from the dam to the power plant. Advantages  There are vast environmental issues with the existence of Chalillo hydroelectric dam; this dam contributes a minimal amount of the country's demand for electricity."
GU-2015-7#-00000456,1.0,Lack of water in the refuges in San Pedro Sacatepéquez and San Marcos due to the collapse of piping caused preoccupations about the sanitary conditions.
GU-2015-7#-00000680,2.0,"The lake is renowned for its striking blue color and water clarity, partly the result of having a white limestone bottom. Like most bodies of water in the Yucatán peninsula, the lake is fed by underground rivers, whose regular open pools are cenotes. Because of the porous limestone, the Yucatán Peninsula has almost no lakes, this is by far the largest, and fed by the 450 km underground river that is part of the worlds's largest water cave/tunnel system, paralleling the coast. In November 2015, Mexico's federal environmental protection agency issued a pollution alert for Lake Bacalar as a result of illegal dumping and inadequate wastewater treatment."
GU-2015-7#-00000514,2.0,"Because it was built by the Mexican government, it has many amenities that other towns do not have, such as paved roads, concrete sidewalks, schools, a community center, electricity and potable water."
GU-2015-7#-00000861,1.0,"This table of major ports and harbors on the Pacific Ocean can be sorted by continent, body of water or political jurisdiction."
GU-2015-7#-00000026,1.0,"2013 – Air pollution in Guatemala City reaches annual mean of 41 PM2.5 and 56 PM10, more than recommended."
GU-2015-7#-00000680,1.0,"The main building has 4 floors, 16 classrooms, a seminar room, a room for academic work, clinical biochemistry laboratory, operating theater for teaching purposes, biotherius, administrative offices and chemical wastewater treatment plant."
GU-2015-7#-00000681,2.0,"Purpose  The primary purpose of Chalillo Hydroelectric Dam is to impound the water in the 46m storage dam during the rainy season and release during shortage.Belize Produces Electricity with Chalillo Dam. Retrieved 16 February 2017, from  At the base of the dam, through a low level valve, water is released during the dry period. Basically, water is carried from the dam downstream to the powerhouse which protects the generating Kaplan turbines. The circular steel pen stock which is about 80 meters in length and 2.4 meters in diameter facilitates the transport of water from the dam to the power plant. Advantages  There are vast environmental issues with the existence of Chalillo hydroelectric dam; this dam contributes a minimal amount of the country's demand for electricity."
GU-2015-7#-00000456,1.0,Lack of water in the refuges in San Pedro Sacatepéquez and San Marcos due to the collapse of piping caused preoccupations about the sanitary conditions.
GU-2015-7#-00000680,2.0,"The lake is renowned for its striking blue color and water clarity, partly the result of having a white limestone bottom. Like most bodies of water in the Yucatán peninsula, the lake is fed by underground rivers, whose regular open pools are cenotes. Because of the porous limestone, the Yucatán Peninsula has almost no lakes, this is by far the largest, and fed by the 450 km underground river that is part of the worlds's largest water cave/tunnel system, paralleling the coast. In November 2015, Mexico's federal environmental protection agency issued a pollution alert for Lake Bacalar as a result of illegal dumping and inadequate wastewater treatment."
GU-2015-7#-00000514,2.0,"Because it was built by the Mexican government, it has many amenities that other towns do not have, such as paved roads, concrete sidewalks, schools, a community center, electricity and potable water."
GU-2015-7#-00000861,1.0,"This table of major ports and harbors on the Pacific Ocean can be sorted by continent, body of water or political jurisdiction."
GU-2015-7#-00000026,1.0,"2013 – Air pollution in Guatemala City reaches annual mean of 41 PM2.5 and 56 PM10, more than recommended."
GU-2015-7#-00000680,1.0,"The main building has 4 floors, 16 classrooms, a seminar room, a room for academic work, clinical biochemistry laboratory, operating theater for teaching purposes, biotherius, administrative offices and chemical wastewater treatment plant."
GU-2015-7#-00000515,2.0,"Then it finally hit me: there was no litter; not even a stray chocolate bar wrapper.The Zapatistas have also embarked on beekeeping and reforestation efforts, having planted over 30,000 trees in order to protect water sources (especially important given the increasing water scarcity in Chiapas), reverse deforestation in the rainforests and provide sources of food, fuel and construction material."
GU-2015-7#-00000792,1.0,"It has a  wide summit crater which contains a crater lake (Lake Ipala), whose surface lies about  below the crater rim."
