DHSID_EA,relevance_score,most_relevant_sentences
CO-2010-6#-00003788,2.0,"Educational programming  In addition to the exhibitions of the Permanent Collection and national and international temporary exhibitions, guided tours are offered for groups or schools, drawing, painting and graphic design classes, educational workshops, seminars and talks on appreciation and history of art."
CO-2010-6#-00003788,1.0,"Her most outstanding work is a replica of the first Panamanian flag, made by María Ossa de Amador, wife of one of the heroes of the Separation of Panama from Colombia, the original design of the Coat of Arms; and the first score of the National anthem of Panama. Republican History Room  This room explains the events of the Separation of Panama from Colombia, and the National Symbol of Panama, including a replica of the first  Panamanian flag that was made by  María Ossa de Amador, wife of Manuel Amador Guerrero; hero of the Separation of Panama from Colombia and first President of Panama. These include a replica of the first Panamanian flag that was made by María Ossa de Amador, wife of Manuel Amador Guerrero; hero of the Separation of Panama from Colombia and first president of Panama."
CO-2010-6#-00004868,2.0,[[File:Terminales de consulta.jpg|left|thumb|High school student using NOTIS Library Software in a Monochrome IBM workstation for reserves.
CO-2010-6#-00004270,4.0,"PhraseMeaningNuxmaxē pa corixgeneral greeting spoken to a man (""sir"")Nuxmaxē pa chiuraxgeneral greeting spoken to a woman (""madam"")Nuxmaxē pa yimaxgeneral greeting spoken to a man (""fellow"")Nuxmaxē pa woxrecügeneral greeting spoken to a woman (""girl"")Nuxmaxē pa pacüxgeneral greeting spoken to a young woman (""miss"")Nuxmaxē pa chomücüxgeneral greeting spoken to a friendNuxmaxgeneral greeting spoken to a strangerNgexta cuxū?Where are you going?"
CO-2010-6#-00000095,1.0,"In addition, the islands get European development funds and students on the islands can also apply for Erasmus program from the islands."
CO-2010-6#-00003867,1.0,"Education  The main centre of higher education in Nueva Valencia del Rey is the University of Carabobo, one of the most important public universities of Venezuela. Other institutions of higher education are the Universidad Tecnológica del Centro (UNITEC), Universidad Arturo Michelena (UAM), Universidad José Antonio Páez (UJAP), Universidad Alejandro de Humboldt (UAH), Universidad Experimental Politécnica de las Fuerzas Armadas (UNEFA) in La Isabelica, the Instituto Nacional de Capacitación y Educación (INCE) in Los Colorados, La Isabelica and La Quizanda."
CO-2010-6#-00003788,2.0,"Educational programming  In addition to the exhibitions of the Permanent Collection and national and international temporary exhibitions, guided tours are offered for groups or schools, drawing, painting and graphic design classes, educational workshops, seminars and talks on appreciation and history of art."
CO-2010-6#-00003788,1.0,"Her most outstanding work is a replica of the first Panamanian flag, made by María Ossa de Amador, wife of one of the heroes of the Separation of Panama from Colombia, the original design of the Coat of Arms; and the first score of the National anthem of Panama. Republican History Room  This room explains the events of the Separation of Panama from Colombia, and the National Symbol of Panama, including a replica of the first  Panamanian flag that was made by  María Ossa de Amador, wife of Manuel Amador Guerrero; hero of the Separation of Panama from Colombia and first President of Panama. These include a replica of the first Panamanian flag that was made by María Ossa de Amador, wife of Manuel Amador Guerrero; hero of the Separation of Panama from Colombia and first president of Panama."
CO-2010-6#-00004868,2.0,[[File:Terminales de consulta.jpg|left|thumb|High school student using NOTIS Library Software in a Monochrome IBM workstation for reserves.
CO-2010-6#-00004270,4.0,"PhraseMeaningNuxmaxē pa corixgeneral greeting spoken to a man (""sir"")Nuxmaxē pa chiuraxgeneral greeting spoken to a woman (""madam"")Nuxmaxē pa yimaxgeneral greeting spoken to a man (""fellow"")Nuxmaxē pa woxrecügeneral greeting spoken to a woman (""girl"")Nuxmaxē pa pacüxgeneral greeting spoken to a young woman (""miss"")Nuxmaxē pa chomücüxgeneral greeting spoken to a friendNuxmaxgeneral greeting spoken to a strangerNgexta cuxū?Where are you going?"
CO-2010-6#-00000095,1.0,"In addition, the islands get European development funds and students on the islands can also apply for Erasmus program from the islands."
CO-2010-6#-00003867,1.0,"Education  The main centre of higher education in Nueva Valencia del Rey is the University of Carabobo, one of the most important public universities of Venezuela. Other institutions of higher education are the Universidad Tecnológica del Centro (UNITEC), Universidad Arturo Michelena (UAM), Universidad José Antonio Páez (UJAP), Universidad Alejandro de Humboldt (UAH), Universidad Experimental Politécnica de las Fuerzas Armadas (UNEFA) in La Isabelica, the Instituto Nacional de Capacitación y Educación (INCE) in Los Colorados, La Isabelica and La Quizanda."
CO-2010-6#-00003633,2.0,Pichincha is active and being monitored by volcanologists at the Geophysical institute of the national polytechnic university.
CO-2010-6#-00001916,1.0,"The airport has 111 hangars located south of the terminal, where the executive offices of several commercial, charter, and cargo airlines, as well as flight schools can also be found. Flight schools Aviation Antioqueña Academy and the Falcons School of Aviation, operate from the hangar area as well."
CO-2010-6#-00002001,2.0,"In July 1961, three college students, Carl Adler, James Wirth, and Joseph Bellina, crossed from the Bay of San Miguel to Puerto Obaldia on the Gulf of Parita (near Colombia) and ultimately to Mulatupu in what was then known as San Blas and now identified as Kuna Yala. Women carrying babies, or pregnant women, are not unusual."
CO-2010-6#-00004360,1.0,During his voyages he met a ferocious tribe of Indians who attacked his ships and many among them were women.
CO-2010-6#-00003867,2.0,"Also held is a joint historical reenactment organized by the Carabobo State Government, the Ministry of Defense, the National Armed Forces, and the Ministry of Education on the very site of the battle in the morning, joined in by elementary and middle school students."
CO-2010-6#-00001022,3.0,"Infrastructure   The institution has two campuses where academic activity takes place: the main campus (Av 5 15-27, Centro) located in the city of Cúcuta and the campus located in the municipality of Ocaña (Kdx 194-785, Vía Universitaria). This modern campus houses blocks of classrooms, offices and laboratories for the realization of the academic and sports activities of its students."
CO-2010-6#-00001886,2.0,"The Universidad de Medellín is a private Colombian university located in Medellín offering undergraduate programs, specializations, masters, and doctoral programs."
CO-2010-6#-00003788,2.0,"Knightsbridge Schools International Panama, also known as KSI Panama, is a bi-lingual, co-educational, private international day school for students aged 3-18. The school is part of Knightsbridge Schools International (KSI), a group of international schools based in Colombia, Panama, Montenegro, Switzerland and Portugal, and is affiliated with Knightsbridge School in London."
CO-2010-6#-00003645,1.0,"Although he had only a primary-school education and lacked formal artistic training, he was an autodidact and managed to gather several million sucres in order to sculpt ""El poder brutal"" over the course of more than a year."
